K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,3,3,50,29,100,68,a6850ab46df84f1879adfd9fbc113474c66e4e12e08c1eca1bfee51e1a9775af,a6850ab46df84f1879adfd9fbc113474c66e4e12e08c1eca1bfee51e1a9775af,dd2d7b919d2e252dc69722b492e8526721bdcbed73de5c7e5055c6556a7786a5
3,3,3,51,30,100,83,0c437cfc27bad47457d9feda5e11fe6d5c805fc9885b4c5dd764b5c07b2bd202,0c437cfc27bad47457d9feda5e11fe6d5c805fc9885b4c5dd764b5c07b2bd202,0df9eb27484face7fd4cfbe087344770d58013374fd88061aacced9c02a36100
3,3,3,77,53,100,87,7359a1f049cf4b8ea376aa2de127e4f5f82f976d7cbcb6ad9e40806baa8c904e,7359a1f049cf4b8ea376aa2de127e4f5f82f976d7cbcb6ad9e40806baa8c904e,1ad8947c2641ce451f537bc416b6a72dda7821c51651733040958b64f9589c9f
3,3,3,68,32,100,79,28e3a9b02c54e40793d4aa1f006589d1d284797a480f34ea0410fd3b392bf771,28e3a9b02c54e40793d4aa1f006589d1d284797a480f34ea0410fd3b392bf771,a1297ff3d5bd79bcf1a802e92aa3e4e33580f069609f5add41eccc46f6e57c9c
3,3,3,88,43,92,77,5358183a64370fa3742e3635a9a8fa575764581158d796c594e2a2dbf2e32b0d,81f4f2077216b1e4cabd400125e0882b53e4025e222786dcbfa4100c2a7b8798,5808ac192f3f071c4ca8a509d18ff3e912ca2dbec3c3612b388300ab426c5d48
3,3,3,60,32,100,50,2b98b539885d9b9fbd52b545f78eb41db05a37d9d04e020fc4cb18e29fb8a34e,2b98b539885d9b9fbd52b545f78eb41db05a37d9d04e020fc4cb18e29fb8a34e,b9d4183ab55e868dc5254c1a698a3eb4068fdb9051889cf6eedf36ddc98d2aaf
3,3,3,86,46,100,77,2101719c9da1ae7c2aa02d88aa9f60186ab39a4dbf4777612c0b4d7953eadc5b,2101719c9da1ae7c2aa02d88aa9f60186ab39a4dbf4777612c0b4d7953eadc5b,3341319035deb4657b7918009e253836be83ab12eec3267cd16a888a99241a25
3,3,3,92,42,100,70,301003ed67430c44d9d7016de84ad38e445db9bdd87519638fecdf6c2e809032,301003ed67430c44d9d7016de84ad38e445db9bdd87519638fecdf6c2e809032,32c7b7451672813d3e6611c5ac77d9dcd8fe123e151f7a222a78cc0e640eda76
3,3,4,87,50,100,76,6fdeb1464fd38db21495c9c1ee94631d4be53d70edd24b0bbc0d913e9b140b8a,6fdeb1464fd38db21495c9c1ee94631d4be53d70edd24b0bbc0d913e9b140b8a,66447ea417ff4779c54f56814ea1cb6f31252600be6d90aef0a175446ff39686
3,3,4,191,127,100,75,2f1c84048c2c65e8174ae69b19ecf8d21b7d03a5cd0035bbff869f07a6307278,2f1c84048c2c65e8174ae69b19ecf8d21b7d03a5cd0035bbff869f07a6307278,e34f37ab1684b90a764266542317105ac2c8a76185b02c0303eb4196697540af
